replicate,flux_median_ratio,active_area_median_ratio,diversity_ratio,saturation_fraction,generic_distance_ratio,flux_median_ratio_pass,active_area_median_ratio_pass,diversity_ratio_pass,saturation_fraction_pass,generic_distance_ratio_pass,joint_gate_pass
171,1.320801429309399,1.0524444564189235,1.0285559822979138,0.00064611434890625,7.4567562723269845,True,True,True,True,True,True
172,1.1964473422065427,0.8688853322338842,0.9591771666226633,0.000569820402140625,5.809073995237266,True,True,True,True,True,True
173,1.5123347597372263,1.094222244229373,1.1297081302704137,0.0006623268147968749,8.335864865482817,True,True,True,True,False,False
174,1.4908761086654225,1.2127556414564282,1.1440594074110972,0.00076293945371875,8.768457348321869,True,True,True,True,False,False
175,1.5462860838836294,1.1577510817151466,1.0886706826316268,0.0006546974171874999,9.571656842789237,True,True,True,True,False,False
176,1.4528285820761557,1.0954319318158827,1.0781300934945302,0.000723361968828125,7.999485914377755,True,True,True,True,True,True
177,1.6902470329930808,1.2535980443536923,1.1127989635251632,0.0006532669047812499,9.730127788743756,True,True,True,True,False,False
178,1.395122793797757,0.9872232007499239,1.0630503428842888,0.0006408691395,7.302305511611626,True,True,True,True,True,True
179,1.3511589802443362,1.04306221701049,1.0675734123619425,0.000628948213,7.049438678692682,True,True,True,True,True,True
180,1.650450333014396,1.1831832095321753,1.1232036375301482,0.0007390975949375,9.252080967229652,True,True,True,True,False,False
181,1.4571280134075082,1.0597680648215935,1.0881860674086987,0.0007057189927812499,7.848197887109633,True,True,True,True,True,True
182,1.5688031062326273,1.1246261327910985,1.0497414870606263,0.00067329406684375,8.033432976550388,True,True,True,True,False,False
183,1.4310068784916798,1.1344912737025867,1.0524729776418027,0.000572681427,8.321920352095841,True,True,True,True,False,False
184,1.5953151213853185,1.2000000476048436,1.1763312703312414,0.0007581710808906249,11.094536153581444,True,True,True,True,False,False
185,1.585221424352021,1.2535980443536923,1.1864300170262911,0.0006923675511562499,9.847217112508636,True,True,True,True,False,False
186,1.7918372402271088,1.3751345639616195,1.180047981320946,0.0006804466227343749,11.891871895201033,True,True,True,True,False,False
187,1.543920878217593,1.241237123083754,1.0378340549963645,0.0006580352784843751,8.05728492931785,True,True,True,True,False,False
188,1.5957948477314317,1.115027798084683,1.0585629856878156,0.000778675077296875,8.077936627026792,True,True,True,True,False,False
189,1.3831851680258622,1.0808753436391967,1.099151725896214,0.00066804885703125,6.652784769070778,True,True,True,True,True,True
190,1.4610216665395395,1.1718281860129085,1.1145331585776501,0.0006790161116874999,8.189081475327743,True,True,True,True,False,False
191,1.4496354698952036,1.1099107422167345,1.1261556583180719,0.000689983368578125,8.221118867007172,True,True,True,True,False,False
192,1.4345304254486893,1.0524444564189235,1.0366136628702316,0.00070953369034375,8.107374000069234,True,True,True,True,False,False
193,1.8709815446618816,1.4251365888418908,1.1729588219222014,0.000769138335609375,11.747915030803016,True,True,True,True,False,False
194,1.516052265673759,1.1059160091127556,1.0570555901579157,0.000624179837421875,7.916930602334301,True,True,True,True,True,True
195,1.4654432016698578,0.9549752121370192,1.0702400234588838,0.0005712509165625,7.263699851115629,True,True,True,True,True,True
196,1.4488307965341904,1.180458657269906,1.0775655612913222,0.0006370544416093749,8.177394804557188,True,True,True,True,False,False
197,1.36773289563458,1.010247625054619,1.0618168184306864,0.000663757322375,7.740679772230889,True,True,True,True,True,True
198,1.5604802366239985,1.1516746635482817,1.1387138431510526,0.0005836486831562501,9.53582571967067,True,True,True,True,False,False
199,1.7253265190982896,1.33205898444022,1.121368650399025,0.00064897537228125,8.353698635612126,True,True,True,True,False,False
200,1.4787881458451713,1.1709486164408132,1.0798748011224488,0.000721454620234375,8.34731673652938,True,True,True,True,False,False
201,1.5744217002583292,1.1312615679700406,1.1248046636272777,0.00072193145534375,9.394413893226092,True,True,True,True,False,False
202,1.355563209608323,0.9837786284603461,1.0839984951372945,0.000632286069921875,6.223186359534851,True,True,True,True,True,True
203,1.744609792656313,1.2650103731413658,1.1400192322976146,0.0006937980646406249,10.012733758122815,True,True,True,True,False,False
204,1.694814254558059,1.2871179207816785,1.0940598865038906,0.000602722166640625,8.655384364111102,True,True,True,True,False,False
205,1.249053021383316,0.933126649193302,1.0232692787125064,0.0006422996512812501,6.126015411113167,True,True,True,True,True,True
206,1.6039135047363922,1.2520884668692533,1.0541340110052655,0.0006585121158125,7.847531725543004,True,True,True,True,True,True
207,1.6276329713423554,1.2474066541135316,1.1181515549003322,0.00064468383653125,8.673676150467033,True,True,True,True,False,False
208,1.4894845930292293,1.1246431881299404,1.0391064723461707,0.00062561034953125,8.545343630608816,True,True,True,True,False,False
209,1.4488307965341904,1.1391555211173574,1.0965969003595792,0.000624656678375,7.47740103249106,True,True,True,True,True,True
210,1.4593376713547308,1.124063658435944,1.1070763806844246,0.0006947517386562498,7.45896040523702,True,True,True,True,True,True
211,1.5950791126319503,1.107482992590717,1.125377288829329,0.000768661499171875,8.922725635195434,True,True,True,True,False,False
212,1.548067774439456,1.1401152116012563,1.0760088771684821,0.00078964233371875,8.701423944402805,True,True,True,True,False,False
213,1.673496889728863,1.3173184462878935,1.0920035332110682,0.000665664669125,10.995529089384828,True,True,True,True,False,False
214,1.4481309354209624,1.0217942411725822,1.0270056908773617,0.000657081601265625,7.211524145779849,True,True,True,True,True,True
215,1.5561433453859277,1.2610333630443975,1.0785734291122058,0.0006027221686406249,9.241836310145972,True,True,True,True,False,False
216,1.7582462480262682,1.2781065119525863,1.1212407047540813,0.000680446625859375,10.438205794102483,True,True,True,True,False,False
217,1.3699798678222739,1.0867398060643998,1.0585662444653954,0.0006494522096562501,6.0706536658483765,True,True,True,True,True,True
218,1.6837737924063074,1.2609970793077687,1.1877462182948033,0.0007910728452656249,10.656295976006598,True,True,True,True,False,False
219,1.441008690209218,1.1832297715263036,1.0287588901886267,0.0005435943603281249,8.400134449500118,True,True,True,True,False,False
220,1.773880813333108,1.2658102767118375,1.1218497996655428,0.00079584121490625,10.339199989248153,True,True,True,True,False,False
221,1.414971852323402,1.0613700827540085,1.0638166712622292,0.0006856918303125,6.879081519948099,True,True,True,True,True,True
222,1.4334548378711143,1.0881261218404183,1.0912032352475898,0.000738143917546875,7.433578773835936,True,True,True,True,True,True
223,1.7268995888236154,1.2361256684714912,1.1760751823488478,0.0007081031773125,8.850750927819186,True,True,True,True,False,False
224,1.5201366489714008,1.1840796130500821,1.1157163098793,0.0006732940677499999,8.513609245012006,True,True,True,True,False,False
225,1.5844595963898795,1.1716140823364374,1.0750722620885682,0.000754833218453125,8.35674825737413,True,True,True,True,False,False
226,1.5191569951405877,1.081009314757431,1.0670222072847098,0.00071239470953125,6.779643775651037,True,True,True,True,True,True
227,1.6772321294477877,1.2084980246432846,1.111391676157817,0.00073051452240625,8.985256934936524,True,True,True,True,False,False
228,1.4678008256336808,1.1490566100437167,1.1029151540475852,0.00070285797240625,8.568782079123103,True,True,True,True,False,False
229,1.6146481424755434,1.2230849122014331,1.1467540866544368,0.000741958617890625,9.54585553301492,True,True,True,True,False,False
230,1.527145872423164,1.0590163649607436,1.1340090235000138,0.0006923675530624999,7.712311786870763,True,True,True,True,True,True
231,1.2793929997450688,1.0136804957946046,1.0263150446621718,0.0006356239309374999,7.244883265762279,True,True,True,True,True,True
