band,feature,real_n,synthetic_n,real_groups,synthetic_groups,real_median,synthetic_median,median_ratio,ratio_ci_low,ratio_ci_high
"(15,30]",gradient_rms,77,22,22,11,38.979156,55.19497109786627,1.4085110533163578,1.2145898533289061,1.6143500533338613
"(15,30]",high_gradient_fraction,77,22,22,11,0.04058837890625,0.035552978515625,0.8669270833333333,0.6881959406079192,1.1314905248663911
"(15,30]",positive_components,77,22,22,11,64.0,47.5,0.7394366197183099,0.55,1.197346113719353
"(15,30]",negative_components,77,22,22,11,64.0,51.5,0.8046875,0.5058823529411764,1.1977920819490584
"(15,30]",strong_component_count,77,22,22,11,134.0,102.5,0.7649253731343284,0.5839015151515152,1.1071870579915135
"(15,30]",strong_centroid_separation,77,22,22,11,70.1093233297794,59.29747234637904,0.8596056698753717,0.7314275472273498,1.0377304335408504
"(15,30]",spectral_centroid,77,22,22,11,0.0526337426976534,0.07394848421092985,1.4072176938873389,1.233940193832988,1.6942212852725738
"(15,30]",spectral_high_fraction,77,22,22,11,0.12981139,0.21781498530278284,1.6662068489503854,1.411367293401769,2.2812385846664194
"(15,30]",spectral_potential_proxy,77,22,22,11,102770.02753261472,94097.28571007159,0.9352313190024301,0.6181973038131532,1.468664801641781
"(30,90]",unsigned_flux_proxy,4,2,1,1,6.8501205,38.5468909875749,5.627184366694702,5.627184366694702,5.627184366694702
"(30,90]",signed_flux_imbalance,4,2,1,1,0.213394095,0.2092550563784967,0.980603780898889,0.980603780898889,0.980603780898889
"(30,90]",rms_field,4,2,1,1,42.7493935,147.9373514214924,3.4605719358683396,3.4605719358683396,3.4605719358683396
"(30,90]",field_energy_proxy,4,2,1,1,1838.36625,23672.95420412001,12.877169717470613,12.877169717470613,12.877169717470613
"(30,90]",gradient_rms,4,2,1,1,16.572339999999997,48.508431949534256,2.927071973513352,2.927071973513352,2.927071973513352
"(30,90]",high_gradient_fraction,4,2,1,1,0.006439208984375,0.0240478515625,3.734597156398104,3.734597156398104,3.734597156398104
"(30,90]",positive_components,4,2,1,1,13.5,41.0,3.037037037037037,3.037037037037037,3.037037037037037
"(30,90]",negative_components,4,2,1,1,14.0,35.5,2.5357142857142856,2.5357142857142856,2.5357142857142856
"(30,90]",strong_component_count,4,2,1,1,26.0,76.5,2.9423076923076925,2.9423076923076925,2.9423076923076925
"(30,90]",strong_centroid_separation,4,2,1,1,30.414465841618608,70.7838844835315,2.327309802254429,2.327309802254429,2.327309802254429
"(30,90]",spectral_centroid,4,2,1,1,0.07918399662142675,0.07052917446124721,0.8906998569223823,0.8906998569223823,0.8906998569223823
"(30,90]",spectral_high_fraction,4,2,1,1,0.194062805,0.2005397275059964,1.033375393630925,1.033375393630925,1.033375393630925
"(30,90]",spectral_potential_proxy,4,2,1,1,4561.667525944951,97624.44020319168,21.401042414411545,21.401042414411545,21.401042414411545
