sample_id,region_group_id,latitude_deg,unsigned_flux_proxy,signed_flux_imbalance,rms_field,field_energy_proxy,gradient_rms,high_gradient_fraction,positive_components,negative_components,strong_component_count,strong_centroid_separation,spectral_centroid,spectral_high_fraction,spectral_potential_proxy
H3295_20131026T165925Z,RG00626,-12.553321,49.484497,0.09511131,161.95372,26229.008,40.102306,0.0439453125,49.0,104.0,153.0,56.81389244544961,0.03904999396303145,0.08564101,173670.35206275148
H7745_20210922T155923Z,RG01376,-28.694693,23.570381,0.28844467,82.76608,6850.224,25.252514,0.0147705078125,46.0,54.0,100.0,38.92681119747034,0.055769269868539605,0.13662142,34550.27380373934
H1999_20120907T195925Z,RG00384,-14.438781,57.217617,0.034595016,138.04924,19057.594,43.476467,0.05609130859375,60.0,100.0,160.0,104.28577588551961,0.061102655801941186,0.18188037,141789.23352432635
H667_20110620T015926Z,RG00150,16.661016,46.701557,0.03576618,143.05818,20465.645,40.471844,0.046630859375,75.0,78.0,153.0,104.65685993735887,0.05263374269765344,0.1382729,124790.1194764344
H7891_20211228T025923Z,RG01416,19.789316,23.418016,0.06416475,92.94877,8639.474,32.116177,0.02716064453125,46.0,39.0,85.0,79.80647488233797,0.06611590775548275,0.18011265,42741.61778794348
H7807_20211102T015923Z,RG01392,17.662424,24.75334,0.034600202,98.65385,9732.581,32.356556,0.02752685546875,39.0,32.0,71.0,71.11728228911537,0.06372369076059566,0.15952346,45149.12310237146
H7716_20210827T135923Z,RG01368,-27.946375,28.609795,0.065305315,111.557785,12445.139,34.96013,0.03118896484375,47.0,54.0,101.0,61.32248259129788,0.05594858863958951,0.12839383,55762.44305984694
H6206_20151227T085924Z,RG01025,-21.238478,43.44615,0.035267256,158.26854,25048.932,45.12546,0.0506591796875,69.0,63.0,132.0,99.8885305306642,0.04971485526893794,0.115901336,138043.99477084912
H1834_20120709T205925Z,RG00356,-17.43973,105.250656,0.1088912,240.90262,58034.07,60.611206,0.09906005859375,110.0,141.0,251.0,32.39805659697505,0.04045895538902506,0.09102941,357812.79861480027
H667_20110620T095926Z,RG00150,16.7267,45.93084,0.038787495,142.16257,20210.197,40.069557,0.04180908203125,79.0,85.0,164.0,107.271125487401,0.05169680243087946,0.13203524,123598.70540959455
H4920_20141219T205925Z,RG00834,-17.441555,88.14229,0.2714605,210.16168,44167.93,56.258984,0.0892333984375,54.0,181.0,235.0,57.06840474007784,0.0462535887435848,0.10717493,249659.56242500525
H1464_20120316T205926Z,RG00295,-22.812132,10.363939,0.1201535,55.55523,3086.3833,20.211308,0.01055908203125,15.0,22.0,37.0,78.28881965373589,0.07689144592505151,0.2029259,11517.043488517487
H7745_20210922T235923Z,RG01376,-28.723358,24.28154,0.28669393,87.01812,7572.1533,26.862762,0.01507568359375,50.0,48.0,98.0,37.13001412410737,0.05629768598301494,0.13947812,36953.258360216074
H3894_20140328T105925Z,RG00722,7.955756,28.370163,0.19114585,105.6319,11158.098,36.859875,0.03118896484375,52.0,80.0,132.0,59.09262704998757,0.0713698526385094,0.194759,43020.30713537134
H5885_20150821T125924Z,RG00969,-14.928127,47.728233,0.22463755,140.93472,19862.598,39.902546,0.0439453125,47.0,95.0,142.0,50.7472200049816,0.04925075530858947,0.11582286,105208.61576200074
H3719_20140212T105925Z,RG00694,5.302813,14.12054,0.033399258,68.22471,4654.6104,22.027546,0.01312255859375,27.0,43.0,70.0,57.00518931819073,0.06512790334712366,0.16943122,18537.821222105038
